idProduto,idCliente,idVendedor,quantidade,valor
27,472,3,54,17250.3
36,91,85,34,14294.62
45,480,35,4,2681.24
5,843,9,46,37751.28
31,866,5,99,70946.37
42,479,83,58,24405.239999999998
22,654,113,11,2026.97
22,188,146,42,7739.34
6,795,140,9,8367.75
4,77,87,67,58133.89
20,413,22,74,9551.92
27,929,113,33,10541.85
20,686,135,80,10326.400000000001
2,108,53,84,31115.280000000002
12,24,123,31,23400.04
43,338,102,19,3338.68
5,135,146,64,52523.52
33,598,141,23,8351.53
8,285,134,79,29259.23
13,330,116,92,84223.24
4,746,62,56,48589.52
46,279,43,44,1507.4399999999998
8,590,124,11,4074.07
19,932,1,93,24814.26
49,641,18,87,16128.06
14,76,94,56,2024.9599999999998
20,497,37,69,8906.52
48,64,13,28,7626.92
45,204,112,20,13406.199999999999
16,922,30,22,20176.420000000002
26,762,5,13,9282.65
13,258,44,24,21971.28
33,846,42,56,20334.16
12,596,25,31,23400.04
43,130,22,56,9840.32
38,266,115,8,5424.96
28,389,91,54,16731.9
42,634,150,89,37449.42
23,330,17,51,6290.849999999999
27,524,59,76,24278.2
15,443,81,43,30357.57
4,848,53,80,69413.59999999999
48,800,96,41,11167.99
10,557,131,62,33254.94
29,600,7,25,8918
10,500,137,16,8581.92
23,827,44,20,2467
49,131,86,1,185.38
10,822,76,53,28427.61
36,641,128,52,21862.36
19,139,112,16,4269.12
29,318,122,34,12128.480000000001
24,510,128,24,10857.36
33,602,103,72,26143.920000000002
42,78,131,35,14727.3
20,524,5,33,4259.64
36,851,101,83,34895.69
41,999,75,82,62269.159999999996
39,336,60,78,74961.9
26,956,54,53,37844.649999999994
47,980,51,16,2184.96
41,718,63,24,18225.12
10,442,143,55,29500.35
35,951,119,53,30279.429999999997
49,671,134,99,18352.62
30,325,35,79,37601.630000000005
3,677,78,80,36748.8
3,284,4,45,20671.2
21,81,30,22,12823.58
23,195,27,9,1110.1499999999999
3,156,103,53,24346.08
16,256,107,97,88959.67
22,441,82,59,10871.93
5,59,90,34,27903.12
15,97,66,47,33181.53
2,242,2,17,6297.14
12,662,86,21,15851.640000000001
35,476,120,18,10283.579999999998
33,911,142,52,18881.72
32,666,108,46,17085.78
42,205,119,86,36187.079999999994
43,616,22,19,3338.68
44,447,72,75,29485.5
2,899,26,51,18891.420000000002
17,882,59,28,9223.480000000001
43,503,96,51,8961.72
47,637,19,30,4096.8
33,200,53,42,15250.62
17,755,33,56,18446.960000000003
20,747,92,37,4775.96
13,241,89,49,44858.03
48,867,6,13,3541.0699999999997
48,366,128,24,6537.36
45,827,80,74,49602.939999999995
14,163,15,92,3326.72
17,306,109,74,24376.34
20,89,70,62,8002.960000000001
12,119,94,9,6793.56
14,192,115,47,1699.5199999999998
3,112,61,4,1837.44
46,834,113,69,2363.94
26,725,53,58,41414.899999999994
4,949,41,55,47721.85
12,418,31,45,33967.8
43,480,87,38,6677.36
28,427,86,88,27266.800000000003
42,858,89,78,32820.84
2,209,78,59,21854.780000000002
29,703,96,10,3567.2000000000003
49,472,129,97,17981.86
36,984,148,28,11772.04
37,955,106,32,24270.08
3,322,128,40,18374.4
8,557,119,87,32222.19
8,153,54,12,4444.4400000000005
19,407,19,65,17343.3
30,237,124,71,33793.87
33,767,145,21,7625.31
25,978,13,70,62115.200000000004
26,150,46,54,38558.7
2,812,146,94,34819.48
12,528,16,40,30193.600000000002
42,922,59,70,29454.6
45,278,30,5,3351.5499999999997
29,553,68,64,22830.08
13,418,67,17,15562.99
23,622,68,35,4317.25
14,839,90,16,578.56
50,503,55,92,18485.56
3,532,89,16,7349.76
30,643,78,68,32365.960000000003
47,248,63,50,6828
31,90,140,77,55180.51
3,435,102,82,37667.520000000004
3,832,68,48,22049.28
45,559,77,32,21449.92
17,342,145,1,329.41
21,363,109,41,23898.489999999998
34,316,22,91,28658.63
40,72,123,59,31681.82
44,43,131,45,17691.3
28,226,146,39,12084.150000000001
43,610,57,55,9664.6
17,376,139,76,25035.160000000003
16,407,41,42,38518.62
14,376,127,81,2928.9599999999996
21,882,10,40,23315.6
16,373,101,87,79788.57
8,332,27,26,9629.62
5,400,119,24,19696.32
7,4,97,85,6786.400000000001
16,580,128,13,11922.43
6,727,15,9,8367.75
10,837,78,96,51491.520000000004
19,779,111,18,4802.76
48,364,5,4,1089.56
31,449,82,64,45864.32
17,117,22,90,29646.9
31,579,65,37,26515.31
22,147,26,15,2764.05
9,171,10,58,18442.260000000002
43,306,71,30,5271.6
40,174,93,62,33292.76
3,411,100,34,15618.24
14,894,30,54,1952.6399999999999
12,883,112,26,19625.84
35,75,70,49,27994.19
26,606,26,85,60694.24999999999
17,917,93,48,15811.68
27,314,138,97,30986.649999999998
47,447,67,87,11880.72
48,242,22,32,8716.48
36,989,139,42,17658.06
46,229,13,51,1747.26
19,951,66,17,4535.94
1,686,83,25,20781
12,868,66,71,53593.64
43,166,49,35,6150.2
3,322,144,84,38586.24
8,379,33,93,34444.41
9,329,135,63,20032.11
26,223,144,18,12852.9
23,15,22,15,1850.25
20,384,116,4,516.32
11,783,24,74,56723.96
35,298,91,66,37706.46
17,737,87,4,1317.64
24,394,10,7,3166.73
24,312,101,32,14476.48
21,558,11,96,55957.44
8,59,142,93,34444.41
34,520,108,94,29603.420000000002
7,407,138,9,718.5600000000001
40,188,124,98,52624.04
17,958,117,22,7247.02
30,166,137,40,19038.800000000003
49,208,124,100,18538
34,741,26,63,19840.59
28,52,124,84,26027.4
7,560,54,20,1596.8000000000002
31,791,136,14,10032.82
33,969,2,58,21060.38
30,397,141,21,9995.37
19,915,29,83,22146.059999999998
43,968,91,55,9664.6
28,716,87,2,619.7
30,837,126,87,41409.39
19,316,117,88,23480.16
10,842,126,46,24673.02
38,961,12,90,61030.8
40,483,138,16,8591.68
48,633,4,42,11440.38
5,37,36,95,77964.59999999999
10,366,18,49,26282.13
12,128,2,30,22645.2
4,429,143,22,19088.739999999998
3,952,84,52,23886.72
37,310,103,83,62950.520000000004
5,299,92,3,2462.04
30,404,120,17,8091.490000000001
7,646,97,33,2634.7200000000003
40,511,105,92,49402.16
49,57,45,1,185.38
45,177,23,74,49602.939999999995
41,948,101,88,66825.44
32,142,3,24,8914.32
13,602,7,3,2746.41
42,33,25,97,40815.659999999996
8,617,82,9,3333.33
24,418,106,66,29857.739999999998
34,539,76,83,26139.190000000002
22,142,65,23,4238.21
7,11,139,11,878.24
16,561,45,56,51358.16
22,327,30,14,2579.78
17,112,80,22,7247.02
14,305,66,18,650.8799999999999
32,50,58,23,8542.89
28,822,94,43,13323.550000000001
39,669,131,24,23065.199999999997
6,89,109,26,24173.5
22,51,67,24,4422.4800000000005
19,241,73,94,25081.079999999998
18,798,98,52,20483.32
2,568,27,20,7408.400000000001
21,476,107,4,2331.56
14,797,78,53,1916.4799999999998
18,276,125,7,2757.3700000000003
17,82,104,9,2964.69
38,943,144,32,21699.84
3,218,147,71,32614.56
30,754,95,100,47597
35,229,136,48,27422.879999999997
8,952,140,86,31851.82
50,776,108,88,17681.84
16,762,62,89,81622.79000000001
5,696,102,73,59909.64
40,124,24,92,49402.16
8,126,51,32,11851.84
7,186,69,28,2235.52
21,407,89,7,4080.23
48,195,78,54,14709.06
9,899,123,54,17170.38
5,839,124,37,30365.16
13,561,16,22,20140.34
11,759,4,45,34494.299999999996
31,719,15,3,2149.89
41,447,92,68,51637.84
17,880,77,38,12517.580000000002
16,658,65,61,55943.71
30,621,11,19,9043.43
3,395,11,85,39045.6
49,69,104,23,4263.74
14,399,95,37,1337.9199999999998
28,981,144,54,16731.9
13,594,70,22,20140.34
26,700,100,31,22135.55
47,82,30,99,13519.44
8,392,30,5,1851.85
14,10,34,71,2567.3599999999997
24,569,21,12,5428.68
17,464,144,19,6258.790000000001
42,489,87,52,21880.559999999998
35,934,149,37,21138.469999999998
18,804,9,51,20089.41
22,949,147,76,14004.52
44,623,12,90,35382.6
48,427,22,89,24242.71
29,579,92,16,5707.52
35,282,48,37,21138.469999999998
13,335,88,90,82392.3
41,564,104,69,52397.22
19,656,81,90,24013.8
32,950,105,8,2971.44
15,335,3,56,39535.44
46,88,51,95,3254.7
37,473,147,83,62950.520000000004
39,329,17,55,52857.75
13,306,128,90,82392.3
24,516,53,20,9047.8
23,275,30,83,10238.05
23,82,30,12,1480.1999999999998
25,537,102,33,29282.88
29,766,102,30,10701.6
2,523,101,17,6297.14
6,4,85,27,25103.25
31,635,40,60,42997.8
41,248,93,55,41765.9
11,441,125,18,13797.72
23,662,144,68,8387.8
17,875,91,74,24376.34
42,318,102,19,7994.82
32,364,43,59,21914.37
48,932,6,15,4085.85
13,765,33,97,88800.59
16,396,124,35,32098.850000000002
20,383,81,27,3485.1600000000003
35,149,89,25,14282.749999999998
15,414,26,25,17649.75
49,59,18,51,9454.38
23,769,69,54,6660.9
22,906,124,72,13267.44
39,101,66,64,61507.2
44,119,100,96,37741.44
48,353,113,39,10623.21
39,578,68,56,53818.799999999996
6,956,144,54,50206.5
6,559,22,7,6508.25
33,171,39,59,21423.49
26,827,125,68,48555.399999999994
26,586,50,78,55695.899999999994
35,13,2,100,57130.99999999999
20,712,49,97,12520.760000000002
30,793,74,19,9043.43
41,216,143,41,31134.579999999998
10,791,40,25,13409.25
45,632,103,99,66360.68999999999
31,623,139,54,38698.02
41,816,144,39,29615.82
42,563,141,70,29454.6
2,358,138,36,13335.12
40,251,14,61,32755.780000000002
21,877,19,12,6994.68
2,43,124,28,10371.76
48,406,122,9,2451.5099999999998
